id,sesion,fecha,horario
1,R y el análisis estadístico + instalaciones,10/03/26,18:00-20:00 (CL)
2,Principios de programación y manejo de bases de datos,11/03/26,18:00-20:00 (CL)
3,Análisis estadístico descriptivo: teoría y aplicación inicial,12/03/26,18:00-20:00 (CL)
4,Taller aplicado: proyecto de análisis de datos (i),17/03/26,18:00-20:00 (CL)
5,Taller aplicado: proyecto de análisis de datos (ii),18/03/26,18:00-20:00 (CL)
6,Taller aplicado: proyecto de análisis de datos (iii),19/03/26,18:00-20:00 (CL)
